2024-04-22 23:12:49,072 - INFO - ***STARTING***
2024-04-22 23:14:29,044 - INFO - ***STARTING***
2024-04-22 23:14:30,770 - INFO - Started processing model with 4 early and 4 late layers for 1a2d2208f73d0531cec33e62192b66e5
2024-04-22 23:15:40,755 - INFO - ***STARTING***
2024-04-22 23:15:42,286 - INFO - Started processing model with 4 early and 4 late layers for 1a2d2208f73d0531cec33e62192b66e5
2024-04-22 23:19:33,288 - INFO - ***STARTING***
2024-04-22 23:19:35,438 - INFO - Started processing model with 4 early and 4 late layers for 1a2d2208f73d0531cec33e62192b66e5
2024-04-22 23:42:57,735 - INFO - Iteration: 15500, PSNR: 28.301189422607422
2024-04-22 23:43:07,264 - INFO - Iteration: 15600, PSNR: 28.452455520629883
2024-04-22 23:43:16,699 - INFO - Iteration: 15700, PSNR: 28.033931732177734
2024-04-22 23:43:26,202 - INFO - Iteration: 15800, PSNR: 28.15605354309082
2024-04-22 23:43:35,355 - INFO - Iteration: 15900, PSNR: 28.23419761657715
2024-04-22 23:43:44,668 - INFO - Iteration: 16000, PSNR: 28.504901885986328
2024-04-22 23:43:54,095 - INFO - Iteration: 16100, PSNR: 27.95729637145996
2024-04-22 23:44:03,799 - INFO - Iteration: 16200, PSNR: 28.033903121948242
2024-04-22 23:44:13,583 - INFO - Iteration: 16300, PSNR: 28.041290283203125
2024-04-22 23:44:23,377 - INFO - Iteration: 16400, PSNR: 25.92967987060547
2024-04-22 23:44:32,842 - INFO - Iteration: 16500, PSNR: 26.057342529296875
2024-04-22 23:44:42,523 - INFO - Iteration: 16600, PSNR: 27.530691146850586
2024-04-22 23:44:52,020 - INFO - Iteration: 16700, PSNR: 28.227909088134766
2024-04-22 23:45:01,729 - INFO - Iteration: 16800, PSNR: 28.252452850341797
2024-04-22 23:45:11,273 - INFO - Iteration: 16900, PSNR: 28.387908935546875
2024-04-22 23:45:19,397 - INFO - Iteration: 17000, PSNR: 28.575054168701172
2024-04-22 23:45:26,967 - INFO - Iteration: 17100, PSNR: 28.512067794799805
